MoldCode,MoldCodeNorm,MoldName,RepairLikeRecordCount,DistinctRequestLetterCount,RequestLetterNos,FirstWorkDate,LastWorkDate
01S,01S,قالب پخت کلاچ پژو 405,5,1,522/د/05,1405/01/20,1405/02/24
02s,02S,قالب پخت کلاچ پژو 405,22,1,404/د/05,1405/01/17,1405/03/24
03s,03S,قالب پخت کلاچ پژو 405,63,1,407/د/05,1405/01/17,1405/04/01
04S,04S,قالب پخت کلاچ پیکان,75,1,746,1405/01/08,1405/03/31
05S,05S,قالب پخت کلاچ پیکان,40,1,692,1405/01/11,1405/04/07
06s,06S,قالب پخت کلاچ پیکان,42,1,682,1405/01/09,1405/04/15
07s,07S,قالب پخت کلاچ پیکان,32,1,682,1405/02/01,1405/04/21
08s,08S,قالب پخت کلاچ پیکان,4,1,708,1405/01/17,1405/01/18
1,1,قالب SAF توری,35,2,1714 | 1722,1405/04/06,1405/06/18
10S,10S,قالب پخت کلاچ پژو 405,15,1,691,1405/02/07,1405/04/10
11S,11S,قالب پخت کلاچ پژو 405,3,0,,1405/02/09,1405/02/16
21355,21355,قالب پراید خاردار,3,0,,1405/01/16,1405/01/23
29087,29087,قالب پخت SAF,34,1,1005,1405/04/25,1405/06/22
29162,29162,قالب 29162,1,0,,1405/06/10,1405/06/10
30303,30303,قالب توری پگاسوز,4,0,,1405/03/23,1405/03/25
30425,30425,قالب توری پگاسوز,3,1,1718,1405/04/23,1405/05/06
70028,70028,قالب لودری 70028,7,1,1704,1405/03/02,1405/03/18
FC30278-01S,FC30278-01S,قالب تیبا خزینه چپ,3,1,05/د/3024,1405/03/17,1405/03/24
FD30303,FD30303,قالب نیسان آریا,2,1,05/د/1745,1405/02/29,1405/03/03
MC30241-02s,MC30241-02S,قالب پخت کلاچ پیکان آرژانتینی,48,1,738,1405/01/08,1405/06/16
MC30241-05s,MC30241-05S,قالب پخت کلاچ پیکان,4,0,,1405/06/17,1405/06/21
MC30241-08s,MC30241-08S,قالب پخت کلاچ پیکان,2,0,,1405/05/08,1405/05/08
Mc30243-04s,MC30243-04S,قالب پخت کلاچ پژو 405,49,1,737,1405/01/16,1405/04/15
Mc30243-07s,MC30243-07S,قالب پخت کلاچ پژو 405,19,1,739,1405/01/23,1405/02/19
MC30250-01S,MC30250-01S,قالب 309 بدون سوراخ,1,1,1590/د/5,1405/02/12,1405/02/12
MC30250-02s,MC30250-02S,قالب 309 سوراخدار,19,1,402/د/05,1405/01/19,1405/02/09
MH19562-01P,MH19562-01P,قالب ولوو سوپر,36,2,747 | 747 17014,1405/01/09,1405/05/08
ML21355-01s,ML21355-01S,قالب پراید خاردار,33,1,624/د/05,1405/01/24,1405/03/05
ML23873-02S,ML23873-02S,قالب جلو ریو,2,1,772,1405/02/12,1405/02/12
ML23873-03s,ML23873-03S,قالب جلو ریو,15,1,772,1405/01/18,1405/02/10
MT30107,MT30107,قالب اکسپرس,4,1,740,1405/01/09,1405/01/11
MT30107-01S,MT30107-01S,قالب اکسپرس,5,1,1971/د/05,1405/02/23,1405/02/27
MT30158-01S,MT30158-01S,قالب قطاری,12,0,,1405/04/20,1405/04/24
MT30181-01s,MT30181-01S,قالب ترنست,4,1,732,1405/01/15,1405/01/16
