AssetName,RecordCount,WorkedHours,RequestLetterNos,HistoricalClassifications,CandidateMoldCodes,WorkTypes,FirstWorkDate,LastWorkDate
قالب پخت کلاچ پیکان,96,413,682,AMBIGUOUS_HISTORICAL_NAME,01S | 03S | 04S | 05S | 06S | 07S | 08S | MC30241-02S | MC30241-05S | MC30241-08S,قالب تعمیری,1405/02/07,1405/06/03
قالب پخت کلاچ پژو 405,95,402.5,,AMBIGUOUS_HISTORICAL_NAME,01S | 02S | 03S | 07S | 10S | 11S | MC30243-04S | MC30243-07S,قالب تعمیری,1405/03/22,1405/06/09
قالب پخت کلاچ,41,252.75,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/05/29,1405/06/17
قالب پژو 405 دیسکی,35,132.5,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/02/06,1405/03/03
قالب شیم پژو 405,22,50,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/24,1405/02/20
قالب ترابوزا,21,93.67,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/04/02,1405/04/19
قالب جلو ریو,16,71.83,,AMBIGUOUS_HISTORICAL_NAME,ML23873-02S | ML23873-03S,قالب تعمیری,1405/02/13,1405/03/18
قالب پخت کلاچ پیکان آرژانتینی,15,54,746,AMBIGUOUS_HISTORICAL_NAME | HISTORICAL_EXACT_NAME_REQUEST,04S | MC30241-02S,قالب تعمیری,1405/02/03,1405/04/09
قالب عقب F12,15,95.58,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/02/08,1405/05/04
قالب شیم ریو,13,27.25,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/19,1405/02/21
قالب خشاب زنی,8,25.23,,NOT_MOLD_REPAIR_WORKTYPE,,قطعه تعمیری,1405/01/26,1405/04/18
قالب BPW تاجدار,5,14,1707 | 896 | 1719,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/03/12,1405/04/28
قالب پیلسان,5,14,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/03/12,1405/06/21
قالب لودری 70021,5,8,1712,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/03/23,1405/04/08
قالب مترو مشهد,5,18,1722,HISTORICAL_EXACT_NAME_REQUEST,1,قالب تعمیری,1405/05/27,1405/06/11
قالب توری بادسان,4,5.5,1707 | 1729,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/03/11,1405/06/22
قالب توری SAF قدیم,4,6,1720 | 1721,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/04/28,1405/04/30
قالب برشی SAF,3,4,,HISTORICAL_UNIQUE_NAME,1,قالب تعمیری,1405/02/21,1405/02/21
صفحه قالب 50*50,3,17,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/02/22,1405/02/27
قالب پراید خاردار,2,14.5,,AMBIGUOUS_HISTORICAL_NAME,21355 | ML21355-01S,قالب تعمیری,1405/01/08,1405/01/15
قالب کوبه نک پیلسان,2,11.5,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/25,1405/01/26
قالب سوراخکاری 70028,2,19,1710,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/03/17,1405/03/18
قالب توری پگاسوز,2,13.5,1718,AMBIGUOUS_HISTORICAL_NAME | HISTORICAL_EXACT_NAME_REQUEST,30303 | 30425,قالب تعمیری,1405/03/18,1405/06/25
قالب آرایشی SAF,2,2,1726,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/06/21,1405/06/21
قالب ضایعات کن لنت,2,8,17228,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/06/22,1405/06/22
قالب برش SAF,1,1,893,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/20,1405/01/20
قالب آرایش کوبه و نک SAF,1,2,894,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/22,1405/01/22
قالب آرایش جافنری ویچای,1,2,895,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/22,1405/01/22
قالب برشی پیلسان,1,2.5,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/22,1405/01/22
قالب آرایش SAF,1,1,894,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/01/26,1405/01/26
قالب کوبه نک SAF,1,1,894,HISTORICAL_UNIQUE_NAME,1,قالب تعمیری,1405/01/26,1405/01/26
قالب عقب دیما,1,4.5,,NO_HISTORICAL_MATCH,,قالب تعمیری,1405/06/21,1405/06/21
