ReviewID,RecordKey,SourceSheet,SourceRowNumber,RecordID,AssetName,WorkType,RequestLetterNo,FailureDescriptionRaw,OperationDescriptionRaw,RelatedMachineCode,MachineName,PartName,PartCode,WorkDate,WorkedHours,ProcessStatus,RepairDeliveryOrProductionStartDate,MoldDeliveryToProductionDate,ApprovalFormStatus,ReviewReason,MoldCodeReviewStatus,AssignedMoldCode,ReviewerNote,HistoricalClassification,HistoricalCandidateMoldCodes,ProposedReviewAction
MMCR-1405-0001,1405-فروردین-38,فروردین,39,38,قالب پراید خاردار,قالب تعمیری,,اصلاح کفی قالب,کفتراشی,,7101,bottom plate,2,1405/01/08,6.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,21355 | ML21355-01S,NEEDS_MOLD_MASTER
MMCR-1405-0002,1405-فروردین-44,فروردین,45,44,قالب پراید خاردار,قالب تعمیری,,اصلاح کفی قالب,سنگ زنی,,7502,bottom plate,2,1405/01/15,8,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,21355 | ML21355-01S,NEEDS_MOLD_MASTER
MMCR-1405-0003,1405-فروردین-133,فروردین,134,133,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,سنگ زنی,,7502,mandrel,4,1405/01/19,0.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0004,1405-فروردین-134,فروردین,135,134,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,سنگ زنی,,7502,Matrix,1,1405/01/19,0.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0005,1405-فروردین-144,فروردین,145,144,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,باز کردن قالب,,دمونتاژ,mold,,1405/01/19,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0006,1405-فروردین-162,فروردین,163,162,قالب برش SAF,قالب تعمیری,893,سنگ زنی,سنگ زنی,,7502,mandrel,4,1405/01/20,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0007,1405-فروردین-184,فروردین,185,184,قالب آرایش کوبه و نک SAF,قالب تعمیری,894,سنگ زنی بعلت بریدگی,سنگ زنی,,7502,mold,,1405/01/22,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0008,1405-فروردین-185,فروردین,186,185,قالب آرایش جافنری ویچای,قالب تعمیری,895,سنگ زنی قالب,سنگ زنی,,7502,mold,,1405/01/22,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0009,1405-فروردین-191,فروردین,192,191,قالب برشی پیلسان,قالب تعمیری,,,مته مرغک ، مته 8.5,,7202,سنبه کوبه,,1405/01/22,2.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0010,1405-فروردین-227,فروردین,228,227,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,باز و بستن قالب,,مونتاژ,mold,,1405/01/24,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0011,1405-فروردین-239,فروردین,240,239,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,سنگ زنی,,7502,mold,,1405/01/24,3.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
