RecordKey,SourceSheet,SourceRowNumber,RecordID,MoldCode,MoldCodeNorm,RequestLetterNo,RequestLetterNoNorm,ProposedRepairCaseID,RepairSequenceNo,DetectionBasis,Confidence
1405-فروردین-150,فروردین,151,150,01S,01S,522/د/05,522/د/05,RC-1405-0001,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-159,فروردین,160,159,01S,01S,522/د/05,522/د/05,RC-1405-0001,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-169,فروردین,170,169,01S,01S,522/د/05,522/د/05,RC-1405-0001,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-86,فروردین,87,86,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-88,فروردین,89,88,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-90,فروردین,91,90,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-92,فروردین,93,92,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-113,فروردین,114,113,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-132,فروردین,133,132,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-161,فروردین,162,161,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-163,فروردین,164,163,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-183,فروردین,184,183,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-287,فروردین,288,287,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-89,اردیبهشت,90,89,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-150,اردیبهشت,151,150,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-320,اردیبهشت,321,320,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-347,اردیبهشت,348,347,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-451,اردیبهشت,452,451,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-452,اردیبهشت,453,452,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-537,اردیبهشت,538,537,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-486,اردیبهشت,487,486,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-496,اردیبهشت,497,496,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-519,اردیبهشت,520,519,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-527,اردیبهشت,528,527,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-خرداد-497,خرداد,498,497,02s,02S,404/د/05,404/د/05,RC-1405-0002,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-87,فروردین,88,87,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-91,فروردین,92,91,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-141,فروردین,142,141,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-182,فروردین,183,182,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-فروردین-213,فروردین,214,213,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-202,اردیبهشت,203,202,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-262,اردیبهشت,263,262,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
1405-اردیبهشت-273,اردیبهشت,274,273,03s,03S,407/د/05,407/د/05,RC-1405-0003,1,MoldCodeNorm + RequestLetterNoNorm,HIGH
