RecordKey,SourceSheet,SourceRowNumber,RecordID,MoldCode,MoldCodeNorm,RequestLetterNo,WorkDate,FailureDescriptionRaw,WorkedHours,ReviewReason
1405-اردیبهشت-207,اردیبهشت,208,207,01S,01S,,1405/02/09,,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-596,اردیبهشت,597,596,01S,01S,,1405/02/24,,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-280,اردیبهشت,281,280,03S,03S,,1405/02/12,لهیدگی,11,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-283,اردیبهشت,284,283,03S,03S,,1405/02/13,لهیدگی,11,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-190,تیر,191,190,07S,07S,,1405/04/10,ساخت Top Plate Botton plate guide rod Matrix stoper,5.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-192,تیر,193,192,07S,07S,,1405/04/10,ساخت Top Plate Botton plate guide rod Matrix stoper,7,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-221,تیر,222,221,07S,07S,,1405/04/10,ساخت Top Plate Botton plate guide rod Matrix stoper,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-243,تیر,244,243,07S,07S,,1405/04/11,ساخت Top Plate Botton plate guide rod Matrix stoper,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-247,تیر,248,247,07S,07S,,1405/04/12,ساخت Top Plate Botton plate guide rod Matrix stoper,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-286,تیر,287,286,07S,07S,,1405/04/13,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-287,تیر,288,287,07S,07S,,1405/04/13,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-311,تیر,312,311,07S,07S,,1405/04/14,ساخت Top Plate Botton plate guide rod Matrix stoper,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-313,تیر,314,313,07S,07S,,1405/04/14,ساخت Top Plate Botton plate guide rod Matrix stoper,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-327,تیر,328,327,07S,07S,,1405/04/14,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-328,تیر,329,328,07S,07S,,1405/04/14,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-331,تیر,332,331,07S,07S,,1405/04/14,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-356,تیر,357,356,07S,07S,,1405/04/15,ساخت Top Plate Botton plate guide rod Matrix stoper,10,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-386,تیر,387,386,07S,07S,,1405/04/16,ساخت Top Plate Botton plate guide rod Matrix stoper,6,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-393,تیر,394,393,07S,07S,,1405/04/16,ساخت Top Plate Botton plate guide rod Matrix stoper,2.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-399,تیر,400,399,07S,07S,,1405/04/16,ساخت Top Plate Botton plate guide rod Matrix stoper,2.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-407,تیر,408,407,07S,07S,,1405/04/17,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-408,تیر,409,408,07S,07S,,1405/04/17,ساخت Top Plate Botton plate guide rod Matrix stoper,9,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-409,تیر,410,409,07S,07S,,1405/04/17,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-411,تیر,412,411,07S,07S,,1405/04/17,ساخت Top Plate Botton plate guide rod Matrix stoper,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-473,تیر,474,473,07S,07S,,1405/04/20,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-476,تیر,477,476,07S,07S,,1405/04/20,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-478,تیر,479,478,07S,07S,,1405/04/20,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-479,تیر,480,479,07S,07S,,1405/04/20,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-486,تیر,487,486,07S,07S,,1405/04/20,ساخت Top Plate Botton plate guide rod Matrix stoper,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-499,تیر,500,499,07S,07S,,1405/04/21,ساخت Top Plate Botton plate guide rod Matrix stoper,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-502,تیر,503,502,07S,07S,,1405/04/21,ساخت Top Plate Botton plate guide rod Matrix stoper,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-163,تیر,164,163,1,1,,1405/04/09,پیچ بریدگی قالب,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-169,تیر,170,169,1,1,,1405/04/09,تعویض پین,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-176,تیر,177,176,1,1,,1405/04/09,پیچ بریدگی قالب,2.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-206,تیر,207,206,1,1,,1405/04/10,پیچ بریدگی قالب,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-210,تیر,211,210,1,1,,1405/04/10,پیچ بریدگی قالب,5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-211,تیر,212,211,1,1,,1405/04/10,پیچ بریدگی قالب,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-212,تیر,213,212,1,1,,1405/04/10,پیچ بریدگی قالب,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-213,تیر,214,213,1,1,,1405/04/10,پیچ بریدگی قالب,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-281,تیر,282,281,1,1,,1405/04/14,تعویض پین,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-330,تیر,331,330,1,1,,1405/04/14,تعویض پین,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-مرداد-188,مرداد,189,188,1,1,,1405/05/07,شکستن سنبه,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-318,شهریور,319,318,1,1,,1405/06/17,اصلاح قالب,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-327,شهریور,328,327,1,1,,1405/06/17,ساخت سنبه جدید جهت قالب (خرابی ),1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-348,شهریور,349,348,1,1,,1405/06/18,اصلاح کوبه,5.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-357,شهریور,358,357,1,1,,1405/06/18,اصلاح قالب,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-361,شهریور,362,361,1,1,,1405/06/18,اصلاح قالب,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-215,اردیبهشت,216,215,11S,11S,,1405/02/09,لهیدگی,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-350,اردیبهشت,351,350,11S,11S,,1405/02/15,لهیدگی,8,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-اردیبهشت-380,اردیبهشت,381,380,11S,11S,,1405/02/16,لهیدگی,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-فروردین-80,فروردین,81,80,21355,21355,,1405/01/16,اصلاح کفی قالب زاپاس,3.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-فروردین-101,فروردین,102,101,21355,21355,,1405/01/17,اصلاح کفی قالب زاپاس,5.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-فروردین-222,فروردین,223,222,21355,21355,,1405/01/23,قالب نو بوده که به درخواست معاونت تولید مبنی بر تست قالب,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-288,شهریور,289,288,29087,29087,,1405/06/16,درخواست ساخت قالب SAF جدید(قبلآ این قالب فرز کاری ، دورتراشی و پله زنی در یک اسم قالب زاپاس شده),2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-169,شهریور,170,169,29162,29162,,1405/06/10,ساخت ورقگیر,8,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-خرداد-431,خرداد,432,431,30303,30303,,1405/03/23,شکستن سنبه(ساخت سنبه),2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-خرداد-438,خرداد,439,438,30303,30303,,1405/03/23,شکستن سنبه(ساخت سنبه),6.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-خرداد-442,خرداد,443,442,30303,30303,,1405/03/23,شکستن سنبه(ساخت سنبه),2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-خرداد-465,خرداد,466,465,30303,30303,,1405/03/25,ساخت آشغال ریز پگاسوز,4.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-خرداد-503,خرداد,504,503,FC30278-01S,FC30278-01S,,1405/03/24,تعویض پین,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-مرداد-408,مرداد,409,408,MC30241-02s,MC30241-02S,,1405/05/21,سنگ زنی سنبه,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-233,شهریور,234,233,MC30241-02s,MC30241-02S,,1405/06/15,اصلاح بعد از برگشت از کروم,11,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-264,شهریور,265,264,MC30241-02s,MC30241-02S,,1405/06/16,اصلاح بعد از برگشت از کروم,11,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-296,شهریور,297,296,MC30241-05s,MC30241-05S,,1405/06/17,اصلاح بعد از برگشت از کروم,6,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-298,شهریور,299,298,MC30241-05s,MC30241-05S,,1405/06/17,اصلاح بعد از برگشت از کروم,3.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-333,شهریور,334,333,MC30241-05s,MC30241-05S,,1405/06/18,اصلاح بعد از برگشت از کروم,11,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-شهریور-369,شهریور,370,369,MC30241-05s,MC30241-05S,,1405/06/21,اصلاح بعد از برگشت از کروم,10,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-مرداد-204,مرداد,205,204,MC30241-08s,MC30241-08S,,1405/05/08,تعویض پین,6,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-مرداد-207,مرداد,208,207,MC30241-08s,MC30241-08S,,1405/05/08,تعویض پین,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-مرداد-101,مرداد,102,101,MH19562-01P,MH19562-01P,,1405/05/05,ساخت فریم جدید جهت قالب,10,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-480,تیر,481,480,MT30158-01S,MT30158-01S,,1405/04/20,پیچ بریدگی,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-501,تیر,502,501,MT30158-01S,MT30158-01S,,1405/04/21,پیچ بریدگی,5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-504,تیر,505,504,MT30158-01S,MT30158-01S,,1405/04/21,پیچ بریدگی,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-505,تیر,506,505,MT30158-01S,MT30158-01S,,1405/04/21,پیچ بریدگی,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-529,تیر,530,529,MT30158-01S,MT30158-01S,,1405/04/22,پیچ بریدگی ، خرابی میل راهنما,4.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-538,تیر,539,538,MT30158-01S,MT30158-01S,,1405/04/22,پیچ بریدگی,2.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-539,تیر,540,539,MT30158-01S,MT30158-01S,,1405/04/22,پیچ بریدگی,1.5,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-555,تیر,556,555,MT30158-01S,MT30158-01S,,1405/04/23,پیچ بریدگی ، خرابی میل راهنما,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-571,تیر,572,571,MT30158-01S,MT30158-01S,,1405/04/23,پیچ بریدگی ، خرابی میل راهنما,3,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-572,تیر,573,572,MT30158-01S,MT30158-01S,,1405/04/23,پیچ بریدگی ، خرابی میل راهنما,1,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-588,تیر,589,588,MT30158-01S,MT30158-01S,,1405/04/24,پیچ بریدگی ، خرابی میل راهنما,2,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
1405-تیر-596,تیر,597,596,MT30158-01S,MT30158-01S,,1405/04/24,پیچ بریدگی ، خرابی میل راهنما,4,F009 RequestLetterNo is blank; automatic RepairCase assignment deferred
